type;id;code;title;description;status;priority;area;sprintId;sprintCode;startDate;endDate;dueDate;estimateHours;tags;notes;body;createdAt;updatedAt;bugId
sprint;eae73089-a634-43eb-a0e1-af2b860e91a3;ES-00;Projekt létrehozás;"Az igényfelmérő weboldal-hoz szükséges GitHub repository, lokális környezet és Vercel host-ing létrehozása";Kész;;;;;2026-06-28;2026-06-28;;;;;;2026-06-28T19:57:17.171Z;2026-06-28T19:57:17.171Z;
task;5094d356-c43d-4248-ba14-654c25321ebd;;GitHub repository létrehozás;Az igényfelmérő weboldal-hoz létre kell hozni egy GitHub repository-t.;Done;Kritikus;DevOps;eae73089-a634-43eb-a0e1-af2b860e91a3;ES-00;;;2026-06-28;1;"GitHub, repository, DevOps";"A repository egyelőre nyilvános, későbbi fázisban viszont át kell állni privát láthatóságra. Erről a Jegyzetek almenüben lehet bővebben olvasni.";;2026-06-28T20:00:36.829Z;2026-06-28T20:00:36.829Z;
task;091ce87f-0fad-44f3-bc3e-91db64beb13b;;Vercel új projekt létrehozás;"Vercel-ben:\n- importáld be GitHub-ról az ""ehok-survey"" repository\n- add hozzá a domain-ekhez a survey.ehok.hu címet\n- deploy-old";Done;Kritikus;DevOps;eae73089-a634-43eb-a0e1-af2b860e91a3;ES-00;;;2026-06-30;1;"Vercel, hosting, DevOps";Az oldal a survey.ehok.hu címen látogatható majd.;;2026-06-28T20:03:53.812Z;2026-06-28T20:21:54.830Z;
task;1e521774-9c50-4615-a132-953859fe8d51;;Sybell konfigurálás;Sybell-ben:\n- keresd ki az ehok.hu domain-t\n- navigálj a Manage DNS oldal-ra\n- Vercel-ből másold ki a CNAME-et és tedd bele;Done;Kritikus;DevOps;eae73089-a634-43eb-a0e1-af2b860e91a3;ES-00;;;2026-06-28;1;"Sybell, domain, DevOps";;;2026-06-28T20:15:51.203Z;2026-06-28T20:22:41.231Z;
milestone;8d097293-d72d-43ce-9887-e56d32032a12;;survey.ehok.hu;"Ez egy igényfelmérő weboldal, ahol kérdőívek segítségével a HÖK-tagok kifejezhetik, hogy fejlesztés során milyen funkciókra fordítsunk figyelmet, illetve a jelenlegi core modul-okat mennyire találják hasznosnak";Folyamatban;;;;;;;2026-06-30;;;;;2026-06-28T19:54:35.007Z;2026-06-28T19:54:35.008Z;
milestone;48de834c-1e63-4007-b06d-bf5913cdb987;;survey.ehok.hu látogatható;"Létrejött:\n- GitHub repository\n- Vercel deployment\n- custom domain konfiguráció\n- Minimális index.html fájl -> ""H'eHÖK!""";Kész;;;;;;;2026-06-28;;;;;2026-06-28T20:06:19.233Z;2026-06-28T20:22:52.745Z;
